familia,variable,original,etiqueta,categorias,construida_desde,uso
Original,rph_idgen,rph_idgen,¿Con cuál género se identifica (nombre)?,1 = Masculino; 2 = Femenino; 3 = Trans u otra; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,No se usa
Original,rph_orientacion_sexual,rph_orientacion_sexual,"Usted actualmente, se identifica como: (Orientación sexual)","1 = No heterosexual (gay, lesbiana, bisexual u otro); 2 = Heterosexual; 88 = No sabe; 96 = Sin dato; 99 = No responde",NA,No se usa
Original,rph_pert_indigena,rph_pert_indigena,¿(nombre) es o se considera perteneciente a algún pueblo indígena u originario?,1 = Sí; 2 = No; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,No se usa
Original,rph_lugar_nacimiento,rph_lugar_nacimiento,¿En qué país vivía la madre de (nombre) cuando él/ella nació?,1 = Chile; 2 = Otro país; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,No se usa
Original,rph_migracion,rph_migracion,¿Entre qué años llegó (nombre) a Chile?,1 = Entre 2020 y 2025; 2 = Entre 2013 y 2019; 3 = Entre 2003 y 2012; 4 = Entre 1993 y 2002; 5 = Antes de 1993; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,No se usa
Original,rph_nacionalidad,rph_nacionalidad,¿Cuál es la nacionalidad de (nombre)?,1 = Chilena; 2 = Chilena y/u otra; 88 = No sabe; 96 = Sin dato; 99 = No responde,NA,No se usa
Original,rph_nivel,rph_nivel,¿Cuál es el nivel educativo más alto alcanzado por (nombre)?,0 = Nunca asistió a educación formal; 1 = Educación básica; 2 = Educación secundaria; 3 = Educación superior; 96 = Sin dato; 99 = Nivel ignorado,NA,rph_nivel_rec
Original,rph_disc_a,rph_disc_a,¿(nombre) tiene dificultad para ver incluso si lleva lentes?,"1 = No, ninguna dificultad; 2 = Sí, algo de dificultad; 3 = Sí, mucha dificultad; 4 = No puede hacerlo; 96 = Sin dato",NA,No se usa
Original,rph_disc_b,rph_disc_b,¿(nombre) tiene dificultad para oír incluso si utiliza un audífono?,"1 = No, ninguna dificultad; 2 = Sí, algo de dificultad; 3 = Sí, mucha dificultad; 4 = No puede hacerlo; 96 = Sin dato",NA,No se usa
Original,rph_disc_c,rph_disc_c,¿(nombre) tiene dificultad para caminar o subir escaleras?,"1 = No, ninguna dificultad; 2 = Sí, algo de dificultad; 3 = Sí, mucha dificultad; 4 = No puede hacerlo; 96 = Sin dato",NA,No se usa
Original,rph_disc_d,rph_disc_d,¿(nombre) tiene dificultad para recordar o concetrarse?,"1 = No, ninguna dificultad; 2 = Sí, algo de dificultad; 3 = Sí, mucha dificultad; 4 = No puede hacerlo; 96 = Sin dato",NA,No se usa
Original,rph_disc_e,rph_disc_e,¿(nombre) tiene dificultad en su cuidado personal como para asearse o vestirse?,"1 = No, ninguna dificultad; 2 = Sí, algo de dificultad; 3 = Sí, mucha dificultad; 4 = No puede hacerlo; 96 = Sin dato",NA,No se usa
Original,rph_disc_f,rph_disc_f,"¿(nombre) tiene dificultad para comunicarse, por ejemplo, dificultad para comprender o ser comprendido por otros?","1 = No, ninguna dificultad; 2 = Sí, algo de dificultad; 3 = Sí, mucha dificultad; 4 = No puede hacerlo; 96 = Sin dato",NA,No se usa
Original,rph_estadocivil,rph_estadocivil,¿Cuál es el estado conyugal o civil actual de (nombre)?,"1 = Casado/a o conviviente civil (con acuerdo de unión civil); 2 = Conviviente sin acuerdo de unión civil; 3 = Anulado/a, separado/a o divorciado/a; 4 = Viudo/a; 5 = Soltero/a; 88 = No sabe; 96 = Sin dato; 99 = No responde",NA,No se usa
Original,rph_situacion_laboral_a,rph_situacion_laboral_a,"Durante la semana pasada,  ¿tuvo (nombre) un trabajo, de al  menos una hora, por el cual  recibió o recibirá pago en dinero  o en especies?",1 = Sí; 2 = No; 96 = Sin dato,NA,No se usa
Original,rph_situacion_laboral_b,rph_situacion_laboral_b,"Aunque no trabajó la semana  pasada, ¿tenía (nombre) durante  dicho periodo un trabajo por el  cual recibe o recibirá un pago en  dinero o en especies?",1 = Sí; 2 = No; 96 = Sin dato,NA,No se usa
Original,rph_categoria_ocupacional,rph_categoria_ocupacional,En ese empleo (nombre) era:,1 = Empleador/a o patrón/a; 2 = Trabajador/a por cuenta propia; 3 = Asalariado/a del sector privado o público; 4 = Personal del servicio doméstico puertas adentro o puertas afuera; 5 = Familiar o personal no remunerado; 96 = Sin dato,NA,No se usa
