grupo_variable,variable,clusters_5,val,label,frq,prop
secundaria,info_otras_personas,C3,1,Se informa por otras personas,2517953,58.13
secundaria,info_otras_personas,C3,88,No sabe,3400,0.08
secundaria,info_otras_personas,C3,99,No responde,79,0
secundaria,info_otras_personas,C4,0,No se informa por otras personas,760636,39.66
secundaria,info_otras_personas,C4,1,Se informa por otras personas,1156203,60.29
secundaria,info_otras_personas,C4,88,No sabe,978,0.05
secundaria,info_otras_personas,C4,99,No responde,15,0
secundaria,info_otras_personas,C5,0,No se informa por otras personas,1106700,43.32
secundaria,info_otras_personas,C5,1,Se informa por otras personas,1447053,56.65
secundaria,info_otras_personas,C5,88,No sabe,753,0.03
secundaria,info_rrss,C1,0,No se informa por RRSS,1073916,42.89
secundaria,info_rrss,C1,1,Se informa por RRSS,1426140,56.96
secundaria,info_rrss,C1,88,No sabe,3570,0.14
secundaria,info_rrss,C1,99,No responde,324,0.01
secundaria,info_rrss,C2,0,No se informa por RRSS,269921,40.28
secundaria,info_rrss,C2,1,Se informa por RRSS,399452,59.61
secundaria,info_rrss,C2,88,No sabe,783,0.12
secundaria,info_rrss,C3,0,No se informa por RRSS,1696166,39.15
secundaria,info_rrss,C3,1,Se informa por RRSS,2632296,60.76
secundaria,info_rrss,C3,88,No sabe,3400,0.08
secundaria,info_rrss,C3,99,No responde,79,0
secundaria,info_rrss,C4,0,No se informa por RRSS,806688,42.06
secundaria,info_rrss,C4,1,Se informa por RRSS,1110151,57.89
secundaria,info_rrss,C4,88,No sabe,978,0.05
secundaria,info_rrss,C4,99,No responde,15,0
secundaria,info_rrss,C5,0,No se informa por RRSS,1146555,44.88
secundaria,info_rrss,C5,1,Se informa por RRSS,1407198,55.09
secundaria,info_rrss,C5,88,No sabe,753,0.03
secundaria,info_prensa,C1,0,No se informa por prensa,1042147,41.62
secundaria,info_prensa,C1,1,Se informa por prensa,1457909,58.22
secundaria,info_prensa,C1,88,No sabe,3570,0.14
secundaria,info_prensa,C1,99,No responde,324,0.01
secundaria,info_prensa,C2,0,No se informa por prensa,268614,40.08
secundaria,info_prensa,C2,1,Se informa por prensa,400758,59.8
secundaria,info_prensa,C2,88,No sabe,783,0.12
secundaria,info_prensa,C3,0,No se informa por prensa,1729012,39.91
